               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  75,            0.018415,           0.0094239,          0.00071233,             0.76672,             0.82333,             0.85096,             0.65108,            0.020901,           0.0077708,           0.0014999,            0.002674,            0.002674,            0.002674
                  76,            0.018032,           0.0097416,          0.00062294,             0.78273,             0.85129,             0.86116,             0.66333,            0.020427,           0.0076687,           0.0013041,            0.002575,            0.002575,            0.002575
                  77,            0.017813,            0.009016,          0.00059919,             0.77774,             0.85137,             0.85776,             0.65332,            0.021071,           0.0074494,           0.0016542,            0.002476,            0.002476,            0.002476
                  78,            0.017938,           0.0096823,          0.00063885,             0.75601,             0.87667,              0.8643,              0.6557,            0.020115,           0.0073984,           0.0016428,            0.002377,            0.002377,            0.002377
                  79,            0.017491,           0.0093074,          0.00075088,             0.75895,             0.88902,             0.86516,             0.66126,                0.02,           0.0073764,           0.0015948,            0.002278,            0.002278,            0.002278
                  80,            0.017023,           0.0089102,          0.00058073,             0.80124,              0.8352,             0.86519,             0.66048,            0.020039,           0.0073028,           0.0014733,            0.002179,            0.002179,            0.002179
                  81,            0.017674,           0.0096759,          0.00052396,                0.78,               0.905,             0.87092,             0.66599,            0.020534,           0.0075333,           0.0013433,             0.00208,             0.00208,             0.00208
                  82,            0.017045,           0.0089364,          0.00074966,              0.7682,             0.87664,             0.86209,             0.66732,            0.019919,           0.0075116,           0.0011045,            0.001981,            0.001981,            0.001981
                  83,            0.017018,           0.0091901,          0.00088892,             0.78448,             0.83931,             0.85446,             0.64747,            0.020193,             0.00787,           0.0011275,            0.001882,            0.001882,            0.001882
                  84,            0.017265,           0.0090439,          0.00053369,              0.8055,             0.82415,             0.86495,             0.65492,            0.020028,           0.0078735,           0.0012419,            0.001783,            0.001783,            0.001783
                  85,             0.01643,           0.0092193,          0.00061519,             0.79019,              0.8708,             0.86915,             0.66381,             0.02023,           0.0074415,           0.0011443,            0.001684,            0.001684,            0.001684
                  86,            0.016009,           0.0088819,          0.00069474,             0.78483,             0.87611,             0.86092,             0.65743,            0.020887,           0.0076628,           0.0013886,            0.001585,            0.001585,            0.001585
                  87,            0.016574,           0.0089177,          0.00047791,             0.80141,             0.83999,              0.8613,             0.65476,            0.020461,           0.0077353,           0.0014924,            0.001486,            0.001486,            0.001486
                  88,            0.017064,           0.0090215,          0.00050894,             0.75412,             0.87405,             0.86035,             0.65503,            0.020493,           0.0077338,           0.0016084,            0.001387,            0.001387,            0.001387
                  89,            0.016401,           0.0090349,           0.0006142,             0.80061,             0.83444,             0.86481,             0.66013,            0.019784,           0.0076673,           0.0014227,            0.001288,            0.001288,            0.001288
